time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,surface
16680,2.07698655,2.06940227,2.04664038,2.00867977,1.95550559,1.88713702,1.80365802,1.70524563,1.59218663,1.46486836,1.32372372,1.16908884,1.00086982,0.81770253,0.61426930,,,,,,0.52157997
16740,2.07253363,2.06494422,2.04216832,2.00418902,1.95099816,1.88262294,1.79915655,1.70078537,1.58780424,1.46060659,1.31962844,1.16520416,0.99723035,0.81431736,0.61107137,,,,,,0.52019903
16800,2.06807884,2.06048459,2.03769558,1.99969899,1.94649312,1.87811336,1.79466186,1.69633399,1.58343254,1.45635704,1.31554639,1.16133302,0.99360385,0.81094340,0.60788158,,,,,,0.51882193
16860,2.06362236,2.05602358,2.03322233,1.99520985,1.94199075,1.87360843,1.79017389,1.69189135,1.57907151,1.45211969,1.31147749,1.15747530,0.98999019,0.80758064,0.60469965,,,,,,0.51744874
16920,2.05916439,2.05156136,2.02874870,1.99072167,1.93749109,1.86910821,1.78569276,1.68745761,1.57472118,1.44789448,1.30742166,1.15363090,0.98638924,0.80422904,0.60152590,,,,,,0.51607951
16980,2.05470513,2.04709810,2.02427488,1.98623461,1.93299426,1.86461281,1.78121852,1.68303280,1.57038154,1.44368137,1.30337880,1.14979970,0.98280091,0.80088853,0.59836027,,,,,,0.51471431
17040,2.05024475,2.04263402,2.01980106,1.98174889,1.92850048,1.86012231,1.77675115,1.67861679,1.56605255,1.43948029,1.29934885,1.14598160,0.97922507,0.79755899,0.59520239,,,,,,0.51335316
17100,2.04578345,2.03816930,2.01532742,1.97726464,1.92400970,1.85563679,1.77229086,1.67420975,1.56173414,1.43529121,1.29533171,1.14217648,0.97566162,0.79424033,0.59205260,,,,,,0.51199610
17160,2.04132140,2.03370410,2.01085412,1.97278188,1.91952218,1.85115637,1.76783749,1.66981168,1.55742637,1.43111401,1.29132730,1.13838425,0.97211042,0.79093258,0.58891082,,,,,,0.51064314
17220,2.03685877,2.02923860,2.00638129,1.96830088,1.91503800,1.84668107,1.76339128,1.66542247,1.55312922,1.42694869,1.28733555,1.13460481,0.96857143,0.78763566,0.58577664,,,,,,0.50929431
17280,2.03239574,2.02477297,2.00190906,1.96382179,1.91055719,1.84221106,1.75895216,1.66104226,1.54884266,1.42279520,1.28335637,1.13083806,0.96504456,0.78434948,0.58265039,,,,,,0.50794963
17340,2.02793249,2.02030738,1.99743763,1.95934465,1.90608000,1.83774631,1.75452024,1.65667108,1.54456659,1.41865350,1.27938968,1.12708392,0.96152973,0.78107390,0.57953198,,,,,,0.50660909
17400,2.02346917,2.01584199,1.99296717,1.95486962,1.90160640,1.83328702,1.75009556,1.65230879,1.54030107,1.41452353,1.27543541,1.12334230,0.95802686,0.77780898,0.57642099,,,,,,0.50527271
17460,2.01900596,2.01137695,1.98849781,1.95039688,1.89713658,1.82883313,1.74567810,1.64795554,1.53604610,1.41040523,1.27149348,1.11961310,0.95453586,0.77455466,0.57331776,,,,,,0.50394049
17520,2.01454301,2.00691244,1.98402971,1.94592656,1.89267067,1.82438487,1.74126803,1.64361135,1.53180163,1.40629856,1.26756382,1.11589622,0.95105664,0.77131082,0.57022214,,,,,,0.50261244
17580,2.01008049,2.00244855,1.97956292,1.94145866,1.88820861,1.81994213,1.73686521,1.63927609,1.52756757,1.40220343,1.26364636,1.11219161,0.94758909,0.76807734,0.56713376,,,,,,0.50128853
17640,2.00561854,1.99798548,1.97509767,1.93699343,1.88375069,1.81550518,1.73246985,1.63494988,1.52334397,1.39811980,1.25974100,1.10849917,0.94413319,0.76485426,0.56405293,,,,,,0.49996879
17700,2.00115733,1.99352339,1.97063410,1.93253099,1.87929691,1.81107389,1.72808190,1.63063276,1.51913081,1.39404765,1.25584770,1.10481884,0.94068886,0.76164154,0.56097945,,,,,,0.49865319
17760,1.99669700,1.98906242,1.96617234,1.92807138,1.87484734,1.80664852,1.72370141,1.62632460,1.51492807,1.38998692,1.25196638,1.10115054,0.93725604,0.75843906,0.55791303,,,,,,0.49734174
17820,1.99223771,1.98460272,1.96171253,1.92361473,1.87040219,1.80222895,1.71932847,1.62202550,1.51073568,1.38593757,1.24809698,1.09749420,0.93383465,0.75524668,0.55485394,,,,,,0.49603441
17880,1.98777958,1.98014442,1.95725472,1.91916123,1.86596139,1.79781541,1.71496299,1.61773551,1.50655361,1.38189954,1.24423944,1.09384973,0.93042463,0.75206447,0.55180189,,,,,,0.49473122
17940,1.98332278,1.97568767,1.95279911,1.91471096,1.86152516,1.79340782,1.71060517,1.61345450,1.50238189,1.37787280,1.24039368,1.09021708,0.92702583,0.74889236,0.54875673,,,,,,0.49343213
18000,1.97886744,1.97123259,1.94834582,1.91026392,1.85709355,1.78900638,1.70625487,1.60918256,1.49822050,1.37385727,1.23655965,1.08659617,0.92363827,0.74573025,0.54571866,,,,,,0.49213715
18060,1.97441330,1.96677753,1.94388892,1.90580719,1.85264355,1.78457541,1.70186148,1.60485132,1.49398107,1.36974256,1.23260282,1.08282601,0.92007109,0.74235051,0.54240390,,,,,,0.49085075
18120,1.96996005,1.96232356,1.93943373,1.90135316,1.84819751,1.78014981,1.69747491,1.60052830,1.48975111,1.36563827,1.22865702,1.07906702,0.91651473,0.73898059,0.53909808,,,,,,0.48957142
18180,1.96550784,1.95787079,1.93498032,1.89690184,1.84375542,1.77572958,1.69309519,1.59621359,1.48553075,1.36154457,1.22472233,1.07531925,0.91296915,0.73562050,0.53579990,,,,,,0.48829777
18240,1.96105680,1.95341940,1.93052890,1.89245349,1.83931755,1.77131495,1.68872250,1.59190728,1.48132000,1.35746142,1.22079878,1.07158275,0.90943450,0.73227064,0.53250936,,,,,,0.48702939
18300,1.95660705,1.94896951,1.92607958,1.88800819,1.83488382,1.76690587,1.68435688,1.58760939,1.47711886,1.35338880,1.21688630,1.06785745,0.90591069,0.72893073,0.52922589,,,,,,0.48576597
18360,1.95215871,1.94452123,1.92163249,1.88356591,1.83045444,1.76250245,1.67999824,1.58331992,1.47292731,1.34932667,1.21298487,1.06414330,0.90239767,0.72560107,0.52594909,,,,,,0.48450731
18420,1.94771190,1.94007470,1.91718765,1.87912689,1.82602940,1.75810475,1.67564671,1.57903890,1.46874534,1.34527499,1.20909442,1.06044020,0.89889554,0.72228130,0.52267906,,,,,,0.48325325
18480,1.94326676,1.93563002,1.91274522,1.87469121,1.82160882,1.75371276,1.67130234,1.57476623,1.46457293,1.34123374,1.20521490,1.05674817,0.89540415,0.71897164,0.51941502,,,,,,0.48200366
18540,1.93882341,1.93118734,1.90830535,1.87025886,1.81719278,1.74932666,1.66696509,1.57050200,1.46041006,1.33720287,1.20134627,1.05306719,0.89192356,0.71567174,0.51615725,,,,,,0.48075844
18600,1.93438197,1.92674675,1.90386814,1.86583007,1.81278133,1.74494633,1.66263500,1.56624623,1.45625671,1.33318235,1.19748846,1.04939717,0.88845376,0.71238178,0.51290541,,,,,,0.47951753
18660,1.92994256,1.92230836,1.89943367,1.86140488,1.80837459,1.74057198,1.65831216,1.56199891,1.45211288,1.32917214,1.19364145,1.04573807,0.88499456,0.70910142,0.50965913,,,,,,0.47828083
18720,1.92550528,1.91787227,1.89500200,1.85698331,1.80397255,1.73620358,1.65399655,1.55776005,1.44797854,1.32517223,1.18980522,1.04208990,0.88154609,0.70583083,0.50641864,,,,,,0.47704830
18780,1.92107026,1.91343861,1.89057331,1.85256556,1.79957540,1.73184120,1.64968816,1.55352959,1.44385368,1.32118257,1.18597974,1.03845263,0.87810821,0.70256969,0.50318329,,,,,,0.47581988
18840,1.91663760,1.90900750,1.88614769,1.84815166,1.79518305,1.72748492,1.64538710,1.54930759,1.43973829,1.31720314,1.18216495,1.03482615,0.87468086,0.69931816,0.49995324,,,,,,0.47459550
18900,1.91220742,1.90457904,1.88172524,1.84374166,1.79079576,1.72313469,1.64109339,1.54509407,1.43563233,1.31323391,1.17836084,1.03121046,0.87126409,0.69607590,0.49672839,,,,,,0.47337513
18960,1.90777982,1.90015333,1.87730596,1.83933574,1.78641339,1.71879070,1.63680694,1.54088902,1.43153579,1.30927486,1.17456731,1.02760555,0.86785769,0.69284311,0.49350810,,,,,,0.47215872
19020,1.90335490,1.89573049,1.87289004,1.83493390,1.78203620,1.71445284,1.63252790,1.53669245,1.42744867,1.30532594,1.17078437,1.02401137,0.86446174,0.68961944,0.49029277,,,,,,0.47094623
19080,1.89893278,1.89131060,1.86847758,1.83053623,1.77766409,1.71012129,1.62825628,1.53250433,1.42337096,1.30138715,1.16701200,1.02042779,0.86107616,0.68640508,0.48708191,,,,,,0.46973761
19140,1.89451355,1.88689378,1.86406867,1.82614288,1.77329725,1.70579602,1.62399202,1.52832467,1.41930265,1.29745845,1.16325015,1.01685486,0.85770081,0.68319967,0.48387534,,,,,,0.46853283
19200,1.89009731,1.88248007,1.85966332,1.82175382,1.76893565,1.70147706,1.61973520,1.52415349,1.41524371,1.29353982,1.15949880,1.01329255,0.85433578,0.68000345,0.48067324,,,,,,0.46733186
19260,1.88568415,1.87806961,1.85526167,1.81736918,1.76457942,1.69716455,1.61548589,1.51999081,1.41119414,1.28963122,1.15575791,1.00974076,0.85098086,0.67681601,0.47747489,,,,,,0.46613465
19320,1.88127419,1.87366249,1.85086383,1.81298910,1.76022857,1.69285837,1.61124403,1.51583664,1.40715393,1.28573265,1.15202741,1.00619943,0.84763611,0.67363760,0.47428054,,,,,,0.46494117
19380,1.87686751,1.86925881,1.84646990,1.80861351,1.75588317,1.68855873,1.60700964,1.51169095,1.40312306,1.28184406,1.14830727,1.00266860,0.84430145,0.67046785,0.47109011,,,,,,0.46375140
19440,1.87246421,1.86485866,1.84207990,1.80424258,1.75154330,1.68426554,1.60278281,1.50755371,1.39910152,1.27796544,1.14459750,0.99914820,0.84097677,0.66730696,0.46790281,,,,,,0.46256530
19500,1.86806437,1.86046213,1.83769390,1.79987642,1.74720897,1.67997890,1.59856355,1.50342497,1.39508930,1.27409677,1.14089805,0.99563810,0.83766212,0.66415461,0.46471912,,,,,,0.46138285
19560,1.86366809,1.85606931,1.83331205,1.79551494,1.74288031,1.67569887,1.59435178,1.49930474,1.39108639,1.27023801,1.13720889,0.99213835,0.83435731,0.66101096,0.46153868,,,,,,0.46020400
19620,1.85927546,1.85168028,1.82893442,1.79115836,1.73855726,1.67142540,1.59014763,1.49519303,1.38709276,1.26638912,1.13352998,0.98864890,0.83106241,0.65787573,,,,,,,0.45902873
19680,1.85488656,1.84729512,1.82456109,1.78680673,1.73424002,1.66715865,1.58595112,1.49108983,1.38310842,1.26255011,1.12986124,0.98516967,0.82777731,0.65474902,,,,,,,0.45785702
19740,1.85050149,1.84291388,1.82019203,1.78246000,1.72992847,1.66289851,1.58176217,1.48699512,1.37913335,1.25872094,1.12620268,0.98170061,0.82450193,0.65163064,,,,,,,0.45668884
19800,1.84612031,1.83853669,1.81582744,1.77811836,1.72562285,1.65864513,1.57758086,1.48290889,1.37516753,1.25490159,1.12255427,0.97824174,0.82123634,0.64852060,,,,,,,0.45552416
19860,1.84174366,1.83416561,1.81147368,1.77379533,1.72134637,1.65443440,1.57345816,1.47889935,1.37129849,1.25120100,1.11904832,0.97495117,0.81816838,0.64564592,,,,,,,0.45435884
19920,1.83737180,1.82979944,1.80712522,1.76947806,1.71707653,1.65023103,1.56934357,1.47489879,1.36743903,1.24751042,1.11555256,0.97167069,0.81511003,0.64277935,,,,,,,0.45319392
19980,1.83300492,1.82543839,1.80278219,1.76516687,1.71281340,1.64603520,1.56523737,1.47090731,1.36358931,1.24382997,1.11206713,0.96840040,0.81206133,0.63992048,,,,,,,0.45203086
20040,1.82864309,1.82108251,1.79844466,1.76086180,1.70855706,1.64184695,1.56113957,1.46692492,1.35974931,1.24015964,1.10859200,0.96514026,0.80902220,0.63706915,,,,,,,0.45087002
20100,1.82428639,1.81673188,1.79411275,1.75656280,1.70430761,1.63766631,1.55705009,1.46295167,1.35591902,1.23649941,1.10512712,0.96189024,0.80599251,0.63422537,,,,,,,0.44971167
20160,1.81993488,1.81238657,1.78978651,1.75227001,1.70006493,1.63349329,1.55296907,1.45898754,1.35209837,1.23284925,1.10167247,0.95865028,0.80297210,0.63138900,,,,,,,0.44855597
20220,1.81558863,1.80804664,1.78546601,1.74798350,1.69582923,1.62932794,1.54889642,1.45503244,1.34828738,1.22920914,1.09822800,0.95542031,0.79996094,0.62855994,,,,,,,0.44740303
20280,1.81124773,1.80371215,1.78115126,1.74370325,1.69160045,1.62517024,1.54483218,1.45108646,1.34448605,1.22557903,1.09479367,0.95220027,0.79695895,0.62573832,,,,,,,0.44625291
20340,1.80691223,1.79938316,1.77684233,1.73942934,1.68737866,1.62102027,1.54077642,1.44714960,1.34069435,1.22195891,1.09136943,0.94899009,0.79396605,0.62292406,,,,,,,0.44510569
20400,1.80258221,1.79505976,1.77253932,1.73516186,1.68316394,1.61687800,1.53672901,1.44322178,1.33691227,1.21834874,1.08795522,0.94578970,0.79098211,0.62011700,,,,,,,0.44396139
20460,1.79825773,1.79074201,1.76824228,1.73090083,1.67895620,1.61274350,1.53269010,1.43930303,1.33313975,1.21474849,1.08455102,0.94259905,0.78800711,0.61731729,,,,,,,0.44282004
20520,1.79393885,1.78642998,1.76395128,1.72664624,1.67475562,1.60861674,1.52865961,1.43539337,1.32937678,1.21115812,1.08115677,0.93941804,0.78504101,0.61452487,,,,,,,0.44168168
20580,1.78962564,1.78212372,1.75966632,1.72239823,1.67056213,1.60449781,1.52463757,1.43149279,1.32562336,1.20757761,1.07777243,0.93624664,0.78208378,0.61173953,,,,,,,0.44054630
20640,1.78531817,1.77782330,1.75538746,1.71815684,1.66637582,1.60038665,1.52062404,1.42760121,1.32187949,1.20400691,1.07439794,0.93308481,0.77913535,0.60896144,,,,,,,0.43941392
20700,1.78101648,1.77352878,1.75111480,1.71392200,1.66219674,1.59628336,1.51661890,1.42371870,1.31814513,1.20044599,1.07103327,0.92993248,0.77619559,0.60619055,,,,,,,0.43828456
20760,1.77672065,1.76924021,1.74684839,1.70969386,1.65802483,1.59218787,1.51262229,1.41984526,1.31442027,1.19689481,1.06767838,0.92678963,0.77326456,0.60342661,,,,,,,0.43715821
20820,1.77243072,1.76495764,1.74258828,1.70547248,1.65386024,1.58810031,1.50863415,1.41598081,1.31070483,1.19335336,1.06433320,0.92365618,0.77034220,0.60066981,,,,,,,0.43603488
20880,1.76814676,1.76068111,1.73833446,1.70125779,1.64970289,1.58402057,1.50465447,1.41212539,1.30699885,1.18982160,1.06099771,0.92053210,0.76742848,0.59792010,,,,,,,0.43491456
20940,1.76386882,1.75641068,1.73408700,1.69704991,1.64555288,1.57994880,1.50068334,1.40827901,1.30330230,1.18629949,1.05767187,0.91741734,0.76452327,0.59517721,,,,,,,0.43379725
21000,1.75959695,1.75214642,1.72984600,1.69284891,1.64141024,1.57588490,1.49672064,1.40444166,1.29961517,1.18278701,1.05435562,0.91431182,0.76162659,0.59244133,,,,,,,0.43268296
21060,1.75533122,1.74788839,1.72561149,1.68865475,1.63727494,1.57182900,1.49276646,1.40061325,1.29593744,1.17928412,1.05104893,0.91121552,0.75873841,0.58971242,,,,,,,0.43157167
21120,1.75107167,1.74363663,1.72138351,1.68446749,1.63314711,1.56778098,1.48882083,1.39679386,1.29226905,1.17579079,1.04775176,0.90812842,0.75585871,0.58699019,,,,,,,0.43046338
21180,1.74681835,1.73939119,1.71716205,1.68028721,1.62902664,1.56374101,1.48488363,1.39298348,1.28860998,1.17230700,1.04446408,0.90505046,0.75298739,0.58427486,,,,,,,0.42935809
21240,1.74257132,1.73515213,1.71294720,1.67611392,1.62491368,1.55970895,1.48095500,1.38918205,1.28496025,1.16883270,1.04118583,0.90198161,0.75012441,0.58156634,,,,,,,0.42825578
21300,1.73833061,1.73091948,1.70873901,1.67194760,1.62080820,1.55568497,1.47703486,1.38538957,1.28131983,1.16536786,1.03791699,0.89892182,0.74726978,0.57886438,,,,,,,0.42715645
21360,1.73409630,1.72669330,1.70453755,1.66778838,1.61671020,1.55166892,1.47312322,1.38160607,1.27768870,1.16191246,1.03465750,0.89587107,0.74442346,0.57616917,,,,,,,0.42606009
21420,1.72986840,1.72247363,1.70034283,1.66363628,1.61261981,1.54766099,1.46922015,1.37783154,1.27406684,1.15846647,1.03140735,0.89282928,0.74158539,0.57348062,,,,,,,0.42496669
21480,1.72564699,1.71826048,1.69615482,1.65949123,1.60853689,1.54366102,1.46532553,1.37406589,1.27045418,1.15502985,1.02816649,0.88979642,0.73875548,0.57079851,,,,,,,0.42387624
21540,1.72143209,1.71405392,1.69197364,1.65535336,1.60446162,1.53966918,1.46143948,1.37030918,1.26685074,1.15160255,1.02493488,0.88677247,0.73593377,0.56812302,,,,,,,0.42278874
21600,1.71722376,1.70985401,1.68779934,1.65122273,1.60039392,1.53568533,1.45756196,1.36656142,1.26325651,1.14818458,1.02171250,0.88375740,0.73312023,0.56545400,,,,,,,0.42170416
21660,1.71302274,1.70566327,1.68363975,1.64711585,1.59636257,1.53175364,1.45375510,1.36290564,1.25977796,1.14490814,1.01865991,0.88094343,0.73054483,0.56307467,,,,,,,0.42061755
21720,1.70882920,1.70148008,1.67948790,1.64301699,1.59233961,1.52783057,1.44995736,1.35925918,1.25630887,1.14164116,1.01561649,0.87813822,0.72797740,0.56070122,,,,,,,0.41953027
21780,1.70464337,1.69730465,1.67534395,1.63892636,1.58832516,1.52391648,1.44616882,1.35562226,1.25284938,1.13838379,1.01258241,0.87534186,0.72541796,0.55833327,,,,,,,0.41844401
21840,1.70046526,1.69313703,1.67120797,1.63484401,1.58431929,1.52001130,1.44238957,1.35199477,1.24939954,1.13513593,1.00955765,0.87255432,0.72286640,0.55597074,,,,,,,0.41735925
21900,1.69629494,1.68897724,1.66708001,1.63076988,1.58032206,1.51611504,1.43861952,1.34837681,1.24595925,1.13189760,1.00654216,0.86977552,0.72032260,0.55361365,,,,,,,0.41627631
21960,1.69213241,1.68482531,1.66296008,1.62670403,1.57633338,1.51222776,1.43485874,1.34476825,1.24252852,1.12866878,1.00353591,0.86700540,0.71778646,0.55126202,,,,,,,0.41519541
22020,1.68797772,1.68068128,1.65884823,1.62264651,1.57235331,1.50834934,1.43110715,1.34116917,1.23910735,1.12544945,1.00053882,0.86424393,0.71525787,0.54891590,,,,,,,0.41411669
22080,1.68383090,1.67654518,1.65474447,1.61859734,1.56838192,1.50447992,1.42736481,1.33757950,1.23569564,1.12223947,0.99755086,0.86149103,0.71273678,0.54657532,,,,,,,0.41304025
22140,1.67969198,1.67241701,1.65064879,1.61455648,1.56441912,1.50061940,1.42363165,1.33399922,1.23229340,1.11903889,0.99457200,0.85874665,0.71022312,0.54424030,,,,,,,0.41196618
22200,1.67556099,1.66829682,1.64656123,1.61052398,1.56046496,1.49676782,1.41990772,1.33042836,1.22890066,1.11584770,0.99160221,0.85601071,0.70771686,0.54191084,,,,,,,0.41089455
22260,1.67143796,1.66418464,1.64248184,1.60649989,1.55651950,1.49292522,1.41619295,1.32686680,1.22551728,1.11266582,0.98864143,0.85328317,0.70521795,0.53958696,,,,,,,0.40982539
22320,1.66732292,1.66008051,1.63841064,1.60248422,1.55258267,1.48909150,1.41248738,1.32331465,1.22214331,1.10949318,0.98568961,0.85056398,0.70272635,0.53726865,,,,,,,0.40875875
22380,1.66321590,1.65598444,1.63434766,1.59847694,1.54865451,1.48526678,1.40879097,1.31977177,1.21877875,1.10632981,0.98274667,0.84785307,0.70024205,0.53495591,,,,,,,0.40769466
22440,1.65911692,1.65189646,1.63029291,1.59447807,1.54473507,1.48145095,1.40510374,1.31623824,1.21542347,1.10317567,0.97981260,0.84515042,0.69776500,0.53264870,,,,,,,0.40663315
22500,1.65502601,1.64781661,1.62624639,1.59048767,1.54082430,1.47764408,1.40142564,1.31271399,1.21207752,1.10003070,0.97688736,0.84245597,0.69529518,0.53034700,,,,,,,0.40557424
22560,1.65094319,1.64374489,1.62220812,1.58650577,1.53692221,1.47384616,1.39775670,1.30919900,1.20874090,1.09689483,0.97397092,0.83976965,0.69283256,0.52805084,,,,,,,0.40451795
22620,1.64686849,1.63968134,1.61817814,1.58253231,1.53302886,1.47005714,1.39409688,1.30569331,1.20541346,1.09376809,0.97106322,0.83709146,0.69037712,0.52576020,,,,,,,0.40346429
22680,1.64280194,1.63562598,1.61415649,1.57856732,1.52914420,1.46627712,1.39044619,1.30219678,1.20209529,1.09065043,0.96816421,0.83442135,0.68792882,0.52347505,,,,,,,0.40241327
22740,1.63874355,1.63157882,1.61014317,1.57461086,1.52526825,1.46250595,1.38680461,1.29870953,1.19878636,1.08754179,0.96527384,0.83175928,0.68548765,0.52119539,,,,,,,0.40136491
22800,1.63469334,1.62753990,1.60613820,1.57066294,1.52140105,1.45874377,1.38317213,1.29523143,1.19548653,1.08444212,0.96239210,0.82910524,0.68305358,0.51892118,,,,,,,0.40031921
22860,1.63065135,1.62350921,1.60214157,1.56672353,1.51754256,1.45499050,1.37954874,1.29176253,1.19219588,1.08135143,0.95951895,0.82645917,0.68062658,0.51665241,,,,,,,0.39927618
22920,1.62661758,1.61948678,1.59815330,1.56279263,1.51369279,1.45124614,1.37593443,1.28830280,1.18891439,1.07826969,0.95665435,0.82382104,0.67820663,0.51438905,,,,,,,0.39823582
22980,1.62259207,1.61547263,1.59417342,1.55887030,1.50985179,1.44751075,1.37232919,1.28485217,1.18564192,1.07519683,0.95379828,0.82119083,0.67579371,0.51213108,,,,,,,0.39719813
23040,1.61857482,1.61146679,1.59020197,1.55495656,1.50601952,1.44378420,1.36873300,1.28141071,1.18237856,1.07213281,0.95095066,0.81856850,0.67338778,0.50987846,,,,,,,0.39616312
23100,1.61456587,1.60746928,1.58623895,1.55105136,1.50219596,1.44006663,1.36514586,1.27797828,1.17912426,1.06907764,0.94811147,0.81595402,0.67098883,0.50763118,,,,,,,0.39513079
23160,1.61056521,1.60348011,1.58228437,1.54715472,1.49838120,1.43635793,1.36156775,1.27455498,1.17587891,1.06603129,0.94528070,0.81334736,0.66859683,0.50538920,,,,,,,0.39410114
23220,1.60657289,1.59949930,1.57833822,1.54326669,1.49457516,1.43265814,1.35799865,1.27114072,1.17264257,1.06299368,0.94245831,0.81074847,0.66621176,0.50315246,,,,,,,0.39307417
23280,1.60258890,1.59552686,1.57440052,1.53938728,1.49077786,1.42896728,1.35443857,1.26773549,1.16941523,1.05996480,0.93964428,0.80815733,0.66383358,0.50092091,,,,,,,0.39204988
23340,1.59861327,1.59156281,1.57047129,1.53551645,1.48698934,1.42528527,1.35088748,1.26433932,1.16619676,1.05694463,0.93683857,0.80557393,0.66146228,0.49869456,,,,,,,0.39102826
23400,1.59464601,1.58760717,1.56655057,1.53165421,1.48320957,1.42161220,1.34734537,1.26095209,1.16298722,1.05393316,0.93404111,0.80299822,0.65909783,0.49647339,,,,,,,0.39000931
23460,1.59068724,1.58365971,1.56263708,1.52779765,1.47943322,1.41793972,1.34380049,1.25755814,1.15976636,1.05090512,0.93122122,0.80039327,0.65669557,0.49420098,,,,,,,0.38899405
23520,1.58673649,1.57972030,1.55873174,1.52394936,1.47566532,1.41427582,1.34026426,1.25417283,1.15655404,1.04788547,0.92840938,0.79779584,0.65430002,0.49193376,,,,,,,0.38798207
23580,1.58279396,1.57578911,1.55483469,1.52010948,1.47190597,1.41062060,1.33673681,1.25079634,1.15335048,1.04487434,0.92560569,0.79520601,0.65191125,0.48967183,,,,,,,0.38697309
23640,1.57885966,1.57186617,1.55094597,1.51627805,1.46815521,1.40697411,1.33321819,1.24742871,1.15015566,1.04187174,0.92281015,0.79262376,0.64952927,0.48741514,,,,,,,0.38596704
23700,1.57493361,1.56795152,1.54706561,1.51245511,1.46441308,1.40333634,1.32970832,1.24406980,1.14696953,1.03887762,0.92002271,0.79004907,0.64715407,0.48516361,,,,,,,0.38496383
23760,1.57101583,1.56404516,1.54319363,1.50864067,1.46067949,1.39970725,1.32620728,1.24071971,1.14379205,1.03589193,0.91724335,0.78748192,0.64478564,0.48291705,,,,,,,0.38396344
23820,1.56710632,1.56014711,1.53933003,1.50483465,1.45695452,1.39608691,1.32271494,1.23737839,1.14062325,1.03291464,0.91447205,0.78492230,0.64242396,0.48067555,,,,,,,0.38296580
23880,1.56320511,1.55625737,1.53547483,1.50103712,1.45323818,1.39247519,1.31923142,1.23404576,1.13746310,1.02994577,0.91170878,0.78237017,0.64006902,0.47843904,,,,,,,0.38197092
23940,1.55931220,1.55237596,1.53162797,1.49724810,1.44953036,1.38887223,1.31575657,1.23072191,1.13431150,1.02698528,0.90895349,0.77982552,0.63772075,0.47620749,,,,,,,0.38097875
24000,1.55542759,1.54850289,1.52778951,1.49346759,1.44583117,1.38527788,1.31229051,1.22740672,1.13116851,1.02403316,0.90620617,0.77728833,0.63537917,0.47398084,,,,,,,0.37998928
24060,1.55155131,1.54463816,1.52395947,1.48969551,1.44214059,1.38169225,1.30883310,1.22410022,1.12803410,1.02108933,0.90346682,0.77475857,0.63304423,0.47175904,,,,,,,0.37900249
24120,1.54768337,1.54078179,1.52013785,1.48593195,1.43845855,1.37811526,1.30538444,1.22080243,1.12490821,1.01815379,0.90073540,0.77223623,0.63071593,0.46954191,,,,,,,0.37801837
24180,1.54382377,1.53693379,1.51632467,1.48217692,1.43478513,1.37454694,1.30194443,1.21751322,1.12179082,1.01522653,0.89801189,0.76972128,0.62839424,0.46732948,,,,,,,0.37703690
24240,1.53997252,1.53309416,1.51251989,1.47843038,1.43112030,1.37098728,1.29851312,1.21423268,1.11868195,1.01230753,0.89529626,0.76721370,0.62607912,0.46512175,,,,,,,0.37605807
24300,1.53612963,1.52926288,1.50872352,1.47469231,1.42746402,1.36743624,1.29509046,1.21096075,1.11558157,1.00939677,0.89258850,0.76471346,0.62377055,0.46291868,,,,,,,0.37508186
24360,1.53229512,1.52543999,1.50493560,1.47096278,1.42381636,1.36389388,1.29167645,1.20769739,1.11248959,1.00649420,0.88988858,0.76222054,0.62146850,0.46072021,,,,,,,0.37410827
24420,1.52846898,1.52162550,1.50115613,1.46724177,1.42017725,1.36036008,1.28827108,1.20444264,1.10940607,1.00359980,0.88719648,0.75973492,0.61917295,0.45852631,,,,,,,0.37313728
24480,1.52465122,1.51781942,1.49738512,1.46352924,1.41654670,1.35683496,1.28487431,1.20119642,1.10633097,1.00071356,0.88451214,0.75725658,0.61688387,0.45633682,,,,,,,0.37216887
24540,1.52084186,1.51402174,1.49362257,1.45982521,1.41292477,1.35331839,1.28148619,1.19795875,1.10326424,0.99783546,0.88183557,0.75478548,0.61460122,0.45415170,,,,,,,0.37120305
24600,1.51704089,1.51023249,1.48986843,1.45612972,1.40931136,1.34981048,1.27810661,1.19472964,1.10020587,0.99496549,0.87916675,0.75232161,0.61232499,0.45197100,,,,,,,0.37023979
24660,1.51324833,1.50645165,1.48612275,1.45244276,1.40570652,1.34631112,1.27473567,1.19150896,1.09715586,0.99210361,0.87650566,0.74986494,0.61005515,0.44979467,,,,,,,0.36927909
24720,1.50946418,1.50267924,1.48238554,1.44876424,1.40211028,1.34282036,1.27137324,1.18829682,1.09411421,0.98924977,0.87385226,0.74741544,0.60779166,0.44762267,,,,,,,0.36832094
24780,1.50568845,1.49891526,1.47865680,1.44509426,1.39852252,1.33933818,1.26801942,1.18509315,1.09108081,0.98640399,0.87120654,0.74497310,0.60553447,0.44545495,,,,,,,0.36736533
24840,1.50192113,1.49515971,1.47493654,1.44143281,1.39494335,1.33586455,1.26467408,1.18189790,1.08805571,0.98356624,0.86856848,0.74253789,0.60328358,0.44329133,,,,,,,0.36641225
